        
  Feb 22, 2023                                   For Dept Code "*" -
                                From the beginning of Mar 2022 to the end of Mar 2022
                                      For customers "CASH" to "CASH" (inclusive)
                                                  Store Number: 001
────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
 Cust #  Name                        Phone
         Date         Invoice  Item Number       Description                              Qty                   Net
────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
 Cash Cu                                                                                       T o t a l 132,369.00
         0                     GLUES ADHESIVES   527.14
         03/03/2022   52966B   HB199105          SOLOMON BRUSH ANGLED 2"                1.000- EACH            7.19-
         03/19/2022   59316B   HB199105          SOLOMON BRUSH ANGLED 2"                1.000  EACH            7.99
         03/07/2022   54512B   HB199107          SOLOMAN BRUSH 3"                       1.000  EACH           11.99
         03/01/2022   52161B   HB285005          HIGH DENSITY FOAM BRUSH 2"             1.000  EACH            1.29
         03/01/2022   52241B   HB285005          HIGH DENSITY FOAM BRUSH 2"             8.000  EACH            9.29
         03/03/2022   52869B   HB285005          HIGH DENSITY FOAM BRUSH 2"             4.000  EACH            4.64
         03/08/2022   54816B   HB285005          HIGH DENSITY FOAM BRUSH 2"             3.000  EACH            3.87
         03/08/2022   54874A   HB285005          HIGH DENSITY FOAM BRUSH 2"             1.000  EACH            1.29
         03/21/2022   59745B   HB285005          HIGH DENSITY FOAM BRUSH 2"             1.000  EACH            1.29
         03/22/2022   60088B   HB285005          HIGH DENSITY FOAM BRUSH 2"             1.000  EACH            1.29
         03/16/2022   58102B   HB461716          TRIM ROLLER 75MM X 5MM                 1.000  EACH            2.19
         03/22/2022   60170A   HB461716          TRIM ROLLER 75MM X 5MM                 1.000  EACH            2.19
         03/24/2022   60928B   HB461716          TRIM ROLLER 75MM X 5MM                 3.000  EACH            6.57
         03/03/2022   52981A   HM005305          4" FOAM ROLLER REFILL 2PK              2.000  EACH            7.98
         03/01/2022   52098B   HM005306          6" FOAM ROLLER REFILLS 2PK             1.000  EACH            5.29
         03/14/2022   57301B   HM005306          6" FOAM ROLLER REFILLS 2PK             1.000  EACH            5.29
         03/07/2022   54202B   HM005309          4" Y/S TRIM ROLLER REFILL 2PK          1.000  EACH            3.41
         03/19/2022   59316B   HM005309          4" Y/S TRIM ROLLER REFILL 2PK          1.000  EACH            4.99
         03/16/2022   58177B   HM005310          6" TRIM ROLLER REFILLS 2PK             1.000  EACH            4.49
         03/30/2022   63358A   HM005312          FOAM ROLLER CAGE BAR                   1.000  EACH            2.33
         03/03/2022   52981A   HZ020440          DYNAMIC MINI ROLLER TRAY               2.000  EACH            4.98
         03/07/2022   54182A   HZ020440          DYNAMIC MINI ROLLER TRAY               2.000  EACH            4.48
         03/12/2022   56801A   HZ020440          DYNAMIC MINI ROLLER TRAY               1.000  EACH            2.69
         03/16/2022   58282B   HZ020440          DYNAMIC MINI ROLLER TRAY               1.000  EACH            2.99
         03/22/2022   60088B   HZ020440          DYNAMIC MINI ROLLER TRAY               1.000  EACH            2.99
         03/01/2022   52180B   HZ020450          ENVIRO TRAY LINER DYNAMIC              1.000  EACH            3.39
         03/02/2022   52361A   HZ020450          ENVIRO TRAY LINER DYNAMIC              1.000  EACH            3.05
         03/17/2022   58679A   HZ020450          ENVIRO TRAY LINER DYNAMIC              5.000  EACH           16.95
         03/29/2022   63162B   K41502            COLORMAXX WHITE FLAT 340G              1.000  EACH           16.99
         03/08/2022   54962A   K41613            COLORMAXX BLACK SATIN 340G             1.000  EACH           16.99
         03/25/2022   61777B   K41613            COLORMAXX BLACK SATIN 340G             1.000  EACH           16.99
         03/28/2022   62612B   K41613            COLORMAXX BLACK SATIN 340G             1.000  EACH           16.99
         03/08/2022   54962A   K42501            COLORMAXX LEATHER BROWN GLOSS 3        1.000  EACH           16.99
         03/04/2022   53385B   K42773            FUSION METALLIC SILVER 340G            1.000- EACH           14.99-
         03/31/2022   64137A   K42773            FUSION METALLIC SILVER 340G            1.000  EACH           18.99
